2/14 12:00:00.001  test-log yells: system messages
2/14 12:00:58.000  Eel-TheVentureCo performs Herb Gathering on Death Blossom.

2/14 12:00:58.001  test-log yells: NPCS messages
2/14 12:00:59.000  Prince Renathal says: The Brokers have secured a cache of curious weapons from other realms. Let's see if they will be of any use to our cause.
2/14 12:01:00.000  Prince Renathal yells: We will crush them!
2/14 12:01:01.000  Prince Renathal looks to you with utter disapointment.

2/14 12:01:01.001  test-log yells: Emote messages
2/14 12:01:02.000  Tellia seems a little tipsy from the Izzard's Ever Flavor.
2/14 12:01:03.000  Tellia seems to be sobering up.
2/14 12:01:04.000  Teaky cheers at you.
2/14 12:01:05.000  You wave goodbye to Teaky. Farewell!
2/14 12:01:06.000  Teaky waves goodbye to you. Farewell!
2/14 12:01:07.000  Aseasia nods at Nitzuss.
2/14 12:01:08.000  You chuckle at Arandell.
2/14 12:01:09.000  Iâlluen looks at you.

2/14 12:01:01.001  test-log yells: Whisper messages
2/14 12:01:10.000  To |Kq40|k: Change of plans, I fear. Considering some limitations of my event, come thursday may be the only night I can run the event proper.
2/14 12:01:11.000  |Kq40|k whispers: What event?
2/14 12:01:12.000  Annaeya-ArgentDawn whispers: ((Pls remind me about the seed))
2/14 12:01:13.000  To Annaeya-ArgentDawn: The seed is from a previous event, when we gathered it.

2/14 12:01:01.001  test-log yells: say and emote messages
2/14 12:01:14.000  Lyndraé-ArgentDawn says: Continue to do that; there's no other choice.
2/14 12:01:15.000  Arlièn-ArgentDawn hums a greeting, inclinging her head.
2/14 12:01:16.000  Irrissia-ArgentDawn says: ... You're the one who said to not w-- *She stops and straight up, looking in her back.*
2/14 12:01:17.000  Irrissia-ArgentDawn nods for Arlien, turning slightly on the branch. "Blessed eve, Arlien."

2/14 12:01:17.001  test-log yells: TRP npc messages
2/14 12:01:18.000  Alyssrea-ArgentDawn brings her hand to her chest and squeezes her fingers together. She looks down, grimacing and then looks back towards the kin on the shore. "Elune'adore... brother... sister." her voice, although attempted to be kept balanced and proper, cracks with »
2/14 12:01:19.000  Alyssrea-ArgentDawn » sorrow.
2/14 12:01:20.000  Annaeya-ArgentDawn | The silver winged moth sits upon Tessaemay's finger, fluttering those beautiful reflective wings. 
2/14 12:01:21.000  Arlièn-ArgentDawn | Delnar says: a rather interesting message

2/14 23:41:04.000  test-log yells: longer conversation
2/14 23:41:04.980  Arandell-ArgentDawn says: [Darnassian] Looks like a siege soon.
2/14 23:41:25.622  Annaeya-ArgentDawn is quite well concealed, more than a year of hiding in bushes has left her in good stead, one would need to be -in- the bush to see past her camouflage.  Though if one listens, one can hear strangled chuckles. 
2/14 23:41:33.346  Irrissia-ArgentDawn shakes her head softly and moves next to Thalyndrae.
2/14 23:41:40.914  Lyndraé gently pats Irrissia.
2/14 23:41:52.351  Irrissia-ArgentDawn grabs the patting hand, to hold it. Mine.
2/14 23:41:57.532  Aseasia-ArgentDawn says: [Darnassian] Is there.. a commotion with the bush?
2/14 23:41:57.911  Arlièn-ArgentDawn hums and dips her head to Aseasia in greeting, before she looks back to the bush.
2/14 23:42:03.397  Lyndraé-ArgentDawn has no choice.
2/14 23:42:30.067  Aseasia-ArgentDawn returns a nod towards Arlien.
2/14 23:42:31.545  Arlièn-ArgentDawn says: [Darnassian] Producing very unusual sounds and berries, that really should not be growing.
2/14 23:42:31.545  Lyndraé-ArgentDawn says: How are you feeling?
2/14 23:43:00.613  Irrissia-ArgentDawn mutters faintly. "Tired..."
2/14 23:43:16.930  Lyndraé-ArgentDawn says: There's a general solution to that conundrum; it's called sleep.
2/14 23:43:27.868  Annaeya-ArgentDawn careflly reaches up, attempting to tuck a few daisies into one of Dalathria's boots without being noticed. 
2/14 23:43:29.089  Irrissia-ArgentDawn squints, looking at Thalyndrae Ravenshade.
2/14 23:43:36.649  Irrissia-ArgentDawn says: And you are the one telling about it ?
2/14 23:43:37.458  Arandell-ArgentDawn says: [Darnassian] I am expecting crickets or some other bugs flying about.
2/14 23:43:47.152  Lyndraé-ArgentDawn says: Precisely. Do what I say, not what I do.
2/14 23:43:55.105  Dalathria-ArgentDawn glances over her shoulder towards the unknown voice and inclines her head to Aseasia slightly.
2/14 23:44:24.964  Irrissia-ArgentDawn says: You know it doesn't work well with me.
2/14 23:44:52.906  Lyndraé-ArgentDawn says: Sleep might though.
2/14 23:44:54.749  Annaeya-ArgentDawn does not reveal herself,  despite having been well and truly rumbled. 
2/14 23:44:56.891  Faeraven-ArgentDawn shrieks playfully and hastens her flight. She swoops agilely across the air and changes her directions unpredictably, enjoying the chase.
2/14 23:45:05.610  Irrissia-ArgentDawn lowers her gaze, mumbling faintly.
2/14 23:45:07.385  Dalathria-ArgentDawn eventually turns her attention back to the bush, paying little attention to her boots.
2/14 23:45:28.928  Lyndraé-ArgentDawn leans to mumble back.
2/14 23:45:37.213  Annaeya-ArgentDawn continues to decorate Dalathria's boots, one little daisy and buttercup at a time.
2/14 23:45:59.219  Irrissia-ArgentDawn nods faintly.
2/14 23:46:06.604  Irrissia-ArgentDawn says: [Low] Likely.
2/14 23:46:29.186  Aseasia-ArgentDawn makes her up closer to the bush.
2/14 23:46:30.980  Arlièn-ArgentDawn says: [Darnassian] When you are done there, will you come out?
2/14 23:46:31.826  Lyndraé-ArgentDawn says: Well, I'm not leaving anytime soon, so there's that.
2/14 23:46:34.424  Lyndraé shrugs at Irrissia. Who knows?
2/14 23:47:15.049  Annaeya-ArgentDawn ponders Arlien's query. One last flower is added to Dalathria's boot before she utters. "Nope!"
2/14 23:47:25.232  Irrissia-ArgentDawn nods again, her focus switchin on the bush a moment.
2/14 23:47:33.304  Irrissia-ArgentDawn says: [Low] What's the problem, with the bush...?
2/14 23:47:40.696  Arlièn-ArgentDawn says: [Darnassian] No as in you are not done yet, or no you will not come out?
2/14 23:48:05.853  Annaeya-ArgentDawn manages to hear Tessaemay despite her low voice. Good ears, this elf. "The bush is haunted!"
2/14 23:48:20.836  Lyndraé-ArgentDawn says: I think it came to life, but I'm not sure.
2/14 23:48:33.749  Arlièn-ArgentDawn says: [Darnassian] Not another water spirit?
2/14 23:48:34.294  Annaeya-ArgentDawn says: No I am not done and no I will not come out... so... both!
2/15 00:01:35.749  Shalaira-ArgentDawn yells: Awwooooh!

3/1 12:00:00.000  Irrissia-ArgentDawn mutters faintly. "Tired..."
11/1 12:00:00.000  Irrissia-ArgentDawn mutters faintly. "Tired..."
12/15 12:00:00.000  Irrissia-ArgentDawn mutters faintly. "Tired..."
